               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.069223,             0.23113,            0.003272,              0.9798,             0.47532,             0.49343,             0.27415,            0.066677,             0.14275,           0.0027497,           0.0056426,           0.0056426,            0.041843
                  71,            0.071162,              0.2189,            0.003923,             0.98202,             0.47455,             0.49243,              0.3083,            0.063561,             0.13353,            0.002716,           0.0057016,           0.0057016,            0.041002
                  72,            0.074153,             0.21658,           0.0034704,             0.98106,             0.46918,             0.49203,             0.30836,              0.0614,             0.13483,            0.002845,           0.0057599,           0.0057599,             0.04016
                  73,            0.068844,             0.21069,            0.003509,             0.98012,             0.46475,             0.49107,             0.30006,            0.067538,             0.13427,           0.0028346,           0.0058174,           0.0058174,            0.039317
                  74,            0.071738,             0.23794,           0.0038021,             0.98311,             0.47332,             0.49337,              0.3119,            0.062299,             0.13466,           0.0028118,            0.005874,            0.005874,            0.038474
                  75,             0.06901,             0.21552,           0.0030273,             0.98006,             0.47263,              0.4923,             0.31376,            0.064112,             0.13197,           0.0027566,           0.0059298,           0.0059298,             0.03763
                  76,            0.068713,               0.216,           0.0037113,             0.97942,             0.47531,             0.49482,              0.3108,            0.064509,             0.13218,           0.0026251,           0.0059848,           0.0059848,            0.036785
                  77,             0.06861,             0.21265,           0.0035851,             0.97996,             0.47229,             0.49333,              0.3001,            0.062166,             0.13232,           0.0026096,           0.0060389,           0.0060389,            0.035939
                  78,            0.070219,             0.19883,           0.0032112,             0.98498,             0.47421,             0.49499,             0.31622,            0.064489,             0.13239,           0.0026835,           0.0060921,           0.0060921,            0.035092
                  79,            0.072152,             0.21539,           0.0039869,             0.98335,             0.47036,             0.49466,             0.31709,            0.065943,             0.13546,            0.002683,           0.0061445,           0.0061445,            0.034245
                  80,            0.065127,             0.20877,           0.0033298,             0.97943,             0.46651,             0.49103,             0.29949,            0.067365,             0.13449,           0.0025768,           0.0061961,           0.0061961,            0.033396
                  81,            0.072563,             0.21741,           0.0034024,             0.98445,             0.45612,             0.48393,             0.25973,            0.068458,             0.13996,           0.0026468,           0.0062467,           0.0062467,            0.032547
                  82,            0.069357,             0.23249,           0.0033808,             0.98378,             0.47066,             0.49431,             0.30364,            0.065736,             0.13785,            0.002612,           0.0062965,           0.0062965,            0.031697
                  83,            0.071302,             0.22147,           0.0032772,             0.98169,             0.47652,             0.49344,             0.29251,            0.065434,             0.13475,           0.0027026,           0.0063454,           0.0063454,            0.030845
                  84,            0.068929,             0.21598,           0.0033144,             0.98457,             0.47344,             0.49437,              0.3158,            0.064953,             0.13357,           0.0025085,           0.0063935,           0.0063935,            0.029993
                  85,            0.064149,             0.21014,           0.0032186,             0.98208,             0.47643,             0.49384,             0.29175,            0.066867,             0.13552,           0.0024746,           0.0064406,           0.0064406,            0.029141
                  86,            0.067587,             0.21116,           0.0030722,             0.98212,             0.47747,             0.49621,             0.31425,            0.061864,             0.13317,           0.0024796,           0.0064868,           0.0064868,            0.028287
                  87,            0.069154,             0.20318,           0.0032415,             0.98307,             0.47227,             0.49418,             0.29571,            0.064737,             0.13362,           0.0024059,           0.0065321,           0.0065321,            0.027432
                  88,            0.067056,             0.20306,           0.0032016,              0.9832,             0.47593,             0.49668,             0.30867,            0.062997,             0.13302,           0.0024063,           0.0065766,           0.0065766,            0.026577
                  89,            0.066669,             0.19964,           0.0031549,             0.98239,             0.46651,             0.49015,             0.29374,            0.067363,             0.13659,           0.0023678,           0.0066201,           0.0066201,             0.02572
                  90,            0.067866,             0.22253,           0.0033734,             0.98313,             0.47691,             0.49511,             0.30616,            0.062906,             0.13093,           0.0024202,           0.0066626,           0.0066626,            0.024863
                  91,            0.066333,             0.21113,           0.0030976,             0.98059,             0.47649,             0.49482,             0.31301,            0.062245,             0.13011,           0.0024491,           0.0067043,           0.0067043,            0.024004
                  92,            0.066356,             0.21153,           0.0029333,             0.98268,              0.4719,             0.49353,             0.27547,            0.064437,             0.13952,           0.0025054,            0.006745,            0.006745,            0.023145
